code_air,nom_air,code_district
1232,Etwii,132
1233,Kob,132
1234,Mbengeghang,132
1235,Mbengwi urban,132
1236,Munam,132
1237,Ngyen mbo,132
1238,Njah etu,132
1239,Njindom,132
1240,Nkon mengom,132
1241,Teze,132
1242,Tinechung,132
1243,Baba 1,133
1244,Babessi,133
1245,Babungo,133
1246,Bafanji,133
1247,Balikumbat,133
1248,Bamali,133
1249,Bambalang,133
1250,Bamessing,133
1251,Bamunka rural,133
1252,Bamunka urban,133
1253,Bamunkumbit,133
1254,Bangolan,133
1255,Mbangsalle,133
1256,Mbissa,133
1257,Mighang,133
1258,kakar,134
1259,Luh,134
1260,Mangu,134
1261,Mbawrong,134
1262,Mbiyeh,134
1263,Mbongong,134
1264,Ndu urban,134
1265,Ntumbaw,134
1266,Sop,134
1267,Akanunku,135
1268,Konda,135
1269,Kuttin,135
1270,Njikwa,135
1271,Oshie,135
1272,Bih,136
1273,Binka,136
1274,Binshua,136
1275,Bua-bua,136
1276,Dumbu,136
1277,Fonfuka,136
1278,Kom,136
1279,Lus,136
1280,Mbot,136
1281,Misaje,136
1282,Njap,136
1283,Nkambe urban,136
1284,Tabenken,136
1285,Wat,136
1286,Gom,137
1287,Lih,137
1288,Ngu,137
1289,Ntem,137
1290,Ntong,137
1291,Nwa,137
1292,Yang,137
1293,Djottin,138
1294,Elak,138
1295,Ibal,138
1296,Ichim,138
1297,Jikijem,138
1298,Kevu,138
1299,Lassin,138
1300,Mboh,138
1301,Ngeptang,138
1302,Nkor,138
1303,Simonkoh,138
1304,Akum,139
1305,Awing,139
1306,Baligham,139
1307,Buchi,139
1308,Mbeme,139
1309,Mbu,139
1310,Menka,139
1311,Ndepang,139
1312,Ntoh,139
1313,Pinyin,139
1314,Santa urban,139
1315,Baforkum,140
1316,Bambili,140
1317,Bambui,140
1318,Finge,140
1319,Kedjom keku,140
1320,Kedjom ketinguh,140
1321,Kwighe,140
1322,Lih,140
1323,Ntehmbang,140
1324,Sabga,140
1325,Tikebeng,140
1326,Abar,141
1327,Bafmen,141
1328,Bu,141
1329,Esu,141
1330,Furuawa,141
1331,Furubana,141
1332,Ise,141
